title,description,content,url,publishedAt,source,country,category
"Team USA takeaways: Anthony Edwards, Anthony Davis lead Americans to 86-72 win over Canada - CBS Sports",Team USA started exhibition season on the right note with a win over Canada,"The last time Team USA stepped on the court in a major tournament, it lost a 127-118 thriller against Canada for the bronze medal at the FIBA World Cup. That loss compelled many of the best players i… [+6332 chars]",https://www.cbssports.com/nba/news/team-usa-takeaways-anthony-edwards-anthony-davis-lead-americans-to-86-72-win-over-canada/,2024-07-11T11:54:00Z,CBS Sports,us,politics
Hubble Space Telescope finds closest massive black hole to Earth — a cosmic clue frozen in time - Space.com,"It's found in Omega Centauri, the remains of a cannibalized galaxy.","Using the Hubble Space Telescope, astronomers have discovered the closest massive black hole to Earth ever seen, a cosmic titan ""frozen in time."" 
As an example of an elusive ""intermediate-mass blac… [+7280 chars]",https://www.space.com/closest-massive-black-hole-earth-hubble,2024-07-11T11:48:24Z,Space.com,us,politics
Fire breaks out on cathedral spire in France's Normandy region - ABC News,,,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC9mcmVuY2gtY2F0aGVkcmFsLXNwaXJlLWNhdGNoZXMtZmlyZS9zdG9yeT9pZD0xMTExNzc2MTDSAV9odHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9JbnRlcm5hdGlvbmFsL2ZyZW5jaC1jYXRoZWRyYWwtc3BpcmUtY2F0Y2hlcy1maXJlL3N0b3J5P2lkPTExMTE3NzYxMA?oc=5,2024-07-11T11:29:25Z,Google News,us,politics
China tells NATO not to create chaos in Asia and rejects label of 'enabler' of Russia's Ukraine war - The Associated Press,China has accused NATO of seeking security at the expense of others and told the alliance not to bring the same “chaos” to Asia. The statement from a Foreign Ministry spokesperson on Thursday came a day after NATO labeled China a “decisive enabler” of Russia’…,"BEIJING (AP) China accused NATO on Thursday of seeking security at the expense of others and told the alliance not to bring the same chaos to Asia, a reflection of its determination to oppose strengt… [+3278 chars]",https://apnews.com/article/china-nato-ukraine-war-689834988a7e0543504010649a63e319,2024-07-11T11:27:00Z,Associated Press,us,politics
"Beth Thames: Grocery list includes drinks, chips, Little Debbie cakes and ... ammo? - AL.com","If easy access to guns and ammunition made us safer, we’d be safer. But we’re not.",,https://www.al.com/opinion/2024/07/beth-thames-grocery-list-includes-drinks-chips-little-debbie-cakes-and-ammo.html,2024-07-11T11:00:00Z,AL.com,us,politics
New Mexicans aren’t happy to see ‘narcissistic’ Alec Baldwin in Santa Fe for involuntary manslaughter trial - New York Post ,"“It’s egotistical, it’s narcissistic. We’ve noticed that when he played Trump. He played that part easy,” one local woman who attended the trial fumed.","SANTA FE, N.M. — Santa Fe is used to tourists. But not like this. 
Alec Baldwin swept into town this week for the start of his involuntary manslaughter trial, and he’s not exactly getting a warm wel… [+5373 chars]",https://nypost.com/2024/07/11/us-news/new-mexicans-slam-alec-baldwin-as-manslaughter-trial-kicks-off/,2024-07-11T10:43:00Z,New York Post,us,politics
Delta Q2 earnings miss expectations despite 'healthy' travel demand - Yahoo Finance,"A higher pace of travel pushed Delta to record Q2 revenue, but declining airline fares are contributing to the industry's decelerating profit growth.","Delta Air Lines (DAL) on Thursday reported record revenue during its June quarter, but discounted airfares pressured earnings, which fell below analyst expectations.
Here's how Delta performed in th… [+4146 chars]",https://finance.yahoo.com/news/delta-q2-earnings-miss-expectations-despite-healthy-travel-demand-104243878.html,2024-07-11T10:42:45Z,Yahoo Entertainment,us,politics
"Woman swimming off Japanese beach was swept into the Pacific, but rescued 37 hours later and 50 miles away - CBS News",,,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3Mvd29tYW4tcmVzY3VlZC1wYWNpZmljLXN3aW1taW5nLWphcGFuLWJlYWNoLWFkcmlmdC0zNy1ob3Vycy_SAVxodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy93b21hbi1yZXNjdWVkLXBhY2lmaWMtc3dpbW1pbmctamFwYW4tYmVhY2gtYWRyaWZ0LTM3LWhvdXJzLw?oc=5,2024-07-11T10:31:00Z,Google News,us,politics
"Storms on Thursday to be more isolated, less strong after flooding, damage seen in New Hampshire - WMUR Manchester","The remnants of Beryl are moving away, which is a welcome sign for folks in the North Country after a long period of heavy rain led to significant flooding.","MANCHESTER, N.H. —The remnants of Beryl are moving away, which is a welcome sign for folks in the North Country after a long period of heavy rain led to significant flooding. 
As the storm system pu… [+2156 chars]",https://www.wmur.com/article/new-hampshire-flooding-weather-forecast-71124/61566024,2024-07-11T10:15:00Z,WMUR Manchester,us,politics
[Removed],[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed],us,politics
